song,artist,
You Try to Die,MouthBreather,
Never Wanted That,Greg Puciato,
G.I.N.A.S.F.S.,Fall Out Boy,
Boy Division,My Chemical Romance,
Just Awake,"Fear, and Loathing in Las Vegas",
ラヴソング,理芽,
魔的,理芽;花譜,
The Silence,9mm Parabellum Bullet,
The Lightning,9mm Parabellum Bullet,
Answer And Answer,9mm Parabellum Bullet,
Objects in Mirror Are Closer Than They Appear,fallfiftyfeet;Greyhaven,
胎児に月はキスをしない,理芽,
クライベイビー,理芽,
甘美な無法,理芽,
宿木,理芽,
さみしいひと,理芽,
十九月,理芽,
NEUROMANCE,理芽,
食虫植物,理芽,
20 Dollar Nose Bleed,Fall Out Boy,
West Coast Smoker,Fall Out Boy,
27,Fall Out Boy,
(Coffee's For Closers),Fall Out Boy,
Disloyal Order Of Water Buffaloes,Fall Out Boy,
I Don't Care,Fall Out Boy,
She's My Winona,Fall Out Boy,
America's Suitehearts,Fall Out Boy,
The (Shipped) Gold Standard,Fall Out Boy,
"This Ain't A Scene, It's An Arms Race",Fall Out Boy,
Our Lawyer Made Us Change The Name Of This Song So We Wouldn't Get Sued,Fall Out Boy,
Locals (Girls like us) [with gabby start],underscores;gabby start,
Miss Murder,AFI,
Panic In The Year Zero,Schoolyard Heroes,
This Is the Best Day Ever,My Chemical Romance,
In The Morning And Amazing...,Circa Survive,
You Know What They Do to Guys Like Us in Prison,My Chemical Romance,
good morning,Covet,
Bored Stiff,Every Time I Die,
The Union,The Tony Danza Tapdance Extravaganza,
Taking Cassandra to the End of the World Party,Fear Before The March Of Flames,
Geez louise (with henhouse!),underscores;henhouse!,
You don't even know who I am,underscores,
Duhhhhhhhhhhhhhhhhh,underscores,
Cops and robbers,underscores,
"This is My Breakdown, I Get to Pick the Music",Thotcrime;Carson Pace,
Pushing The Pink Envelope,The Callous Daoboys,
Waco Jesus,The Callous Daoboys,
Designer Shroud of Turin,The Callous Daoboys;Pulses.,
Underbite,Protest The Hero,
Soliloquy,Protest The Hero,
Mist,Protest The Hero,
Clarity,Protest The Hero,
Grimothy,Moon Tooth,
Normal People Things,Lovejoy,
Ex-Mørtis,Ice Nine Kills,
Portrait of a Blank Slate,Lovejoy,
The Box [Feat. Brandon Saller & Ryan Kirby],Ice Nine Kills;Brandon Saller;Ryan Kirby,
Funeral Derangements,Ice Nine Kills,
C'est la Vie,Protest The Hero,
BLUE GIANT,Hiromi;Tomoaki Baba;Shun Ishiwaka,
BLUE GIANT - Cello & Piano,Hiromi,
Kawakita blues,Hiromi,
Omelet rice,Hiromi,
Happiness,Three Days Grace,
Broken Glass,Three Days Grace,
Chalk Outline,Three Days Grace,
Anonymous,Three Days Grace,
Misery Loves My Company,Three Days Grace,
Sacrificial Participant,Better Lovers,
30 Under 13,Better Lovers,
Joyriding,Frank Iero,
Let Me Hear,"Fear, and Loathing in Las Vegas",
God Made Me an Animal,Better Lovers,
Become So Small,Better Lovers,
Pushing The Pink Envelope,The Callous Daoboys,
How Many More Times,Royal Blood,
The Firing Line,Royal Blood,
Pull Me Through,Royal Blood,
ラブ・ドラマティック,Masayuki Suzuki;伊原六花,
Vampires Will Never Hurt You,My Chemical Romance,
Waco Jesus,The Callous Daoboys,
Palms Read,Protest The Hero,
The Dissentience,Protest The Hero,
Bloodmeat,Protest The Hero,
Variations on a Cocktail Dress,The Dillinger Escape Plan,
Weekend Sex Change,The Dillinger Escape Plan,
The Running Board,The Dillinger Escape Plan,
*#..,The Dillinger Escape Plan,
4th Grade Dropout,The Dillinger Escape Plan,
Dogfight Over the Trenches,The Callous Daoboys,
Die on Mars (Side Story),The Callous Daoboys,
Die on Mars (Addendum),The Callous Daoboys,
Cobra Winfrey,The Callous Daoboys,
Bile Ritual,Koningsor,
Rubberdactyl,Koningsor,
L'appel Du Vide,Pupil Slicer;Carson Pace,
Nautical,Protest The Hero,
This SimCity Ain't Big Enough for the Both of Us,The Callous Daoboys;Amy G Dala,
Joyce Manor Is in Our Related Artists,The Callous Daoboys,
Headfirst for Halos,My Chemical Romance,
Bury the Hatchet,Protest The Hero,
Domination III,XweaponX,
Selfish Thieves,Mortality Rate,
Enemies in Red,Dying Wish,
Sequoia Throne,Protest The Hero,
Bone Marrow,Protest The Hero,
Bloodmeat,Protest The Hero,
A Plateful of Our Dead,Protest The Hero,
Turn Soonest to the Sea,Protest The Hero,
shibuya (feat. San Holo),Covet;San Holo,
glimmer,Covet,
Rich Kids (feat. Yvette Young),Polyphia;Yvette Young,
G.O.A.T.,Polyphia,
Full Tilt,Johnny Booth,
Collapse in the Key of Fireworks,Johnny Booth,
Paradroid,Astrometrics,
"Give 'Em Hell, Kid",My Chemical Romance,
Party Poison,My Chemical Romance,
30 Under 13,Better Lovers,
"Absence as a Presence(Live in Los Angeles, 11/11/22)",Greg Puciato,
Time's Up,Volatile Ways,
Zetsubou Billy,MAXIMUM THE HORMONE,
I Get It,Chevelle,
The Fad,Chevelle,
Well Enough Alone,Chevelle,
Antisaint,Chevelle,
Paint the Seconds,Chevelle,
ミスターフィクサー,Sou,
Humanoid,Chevelle,
Dracul Gras,Periphery,
Zagreus,Periphery,
Wax Wings,Periphery,
Atropos,Periphery,
Zagreus,Periphery,
Wildfire,Periphery,
The Cabaret of Dreams,Seven Spires,
Aki no Kehai no Arpeggio,Ling tosite sigure,
Metamorphose,Ling tosite sigure,
Better Strangers,Royal Blood,
混ぜるな危険,tricot,
ゆきこさん,ミドリ,
nakano kill you,Ling tosite sigure,
Mirror Frustration,Ling tosite sigure,
キミトオク,Ling tosite sigure,
Vanity Fair,Mr. Bungle,
Golem II: The Bionic Vapour Boy,Mr. Bungle,
Ars Moriendi,Mr. Bungle,
Telecastic fake show,Ling tosite sigure,
TRAGEDY:ETERNITY,MYTH & ROID,
A Call,EDEN,
The Threat Posed by Nuclear Weapons,The Dillinger Escape Plan,
Crossburner,The Dillinger Escape Plan,
Magic That I Held You Prisoner,The Dillinger Escape Plan,
CH 375 268 277 ARS,The Dillinger Escape Plan,
Paranoia Shields,The Dillinger Escape Plan,
Understanding Decay,The Dillinger Escape Plan,
Nothing's Funny,The Dillinger Escape Plan,
Hero of the Soviet Union,The Dillinger Escape Plan,
One of Us is the Killer,The Dillinger Escape Plan,
When I Lost My Bet,The Dillinger Escape Plan,
Prancer,The Dillinger Escape Plan,
Sergio Echigo,Ling tosite sigure,
- A beginning -,MYTH & ROID,
- An ending -,MYTH & ROID,
Dark Paradise,2Saxy,
"Thermodynamic Lawyer Esq, G.F.D.",Will Wood and the Tapeworms,
花夢ピエロ,Vanguard Sound;RabbitJ;赛博传媒-2064;夏铜子,
Branching Paths (feat. Mr. Chase),Ichika Nito;Mr. Chase,
Altitudes,Jason Becker,
Anastasia,Slash;Myles Kennedy And The Conspirators,
Fear & Delight,The Correspondents,
#NAME?,Will Wood and the Tapeworms,
2012,Will Wood and the Tapeworms,
"Cotard's Solution (Anatta, Dukkha, Anicca)",Will Wood and the Tapeworms,
1997 (Tonight We're Gonna Party Like It's...),Sleepytime Gorilla Museum,
Helpless Corpses Enactment,Sleepytime Gorilla Museum,
FC: The Freedom Club,Sleepytime Gorilla Museum,
Mr. Capgras Encounters a Secondhand Vanity: Tulpamancer's Prosopagnosia / Pareidolia (As Direct Result of Trauma to Fusiform Gyrus),Will Wood and the Tapeworms,
Self-,Will Wood and the Tapeworms,
Dr. Sunshine Is Dead,Will Wood and the Tapeworms,
The Song with Five Names a.k.a. Soapbox Tao a.k.a. Checkmate Atheists! a.k.a. Neospace Government (A.K.A. You Can Never Know),Will Wood and the Tapeworms,
The Host Will Soon Decay,END,
Eden Will Drown,END,
Flight Of The Silverbird,Two Steps from Hell;Thomas Bergersen,
The Donkey-Headed Adversary Of Humanity Opens The Discussion,Sleepytime Gorilla Museum,
Heroin,The Tiger Lillies,
"Hand Me My Shovel, I'm Going In!",Will Wood and the Tapeworms,
The Lupine Waltz,The Real Tuesday Weld,
Brunel,The Men That Will Not Be Blamed For Nothing,
The Mandalorian Main Theme - Piano Version,Patrik Pietschmann,
No More Deals,MULTI BGM STUDIO,
Comics,Caravan Palace,
The Death of the Cog,The Cog is Dead,
Crashland,Arcturus,
Sleep Is Wrong,Sleepytime Gorilla Museum,
The People's Common Sense Medical Advisor By R.V. Pierce M.D.,The Men That Will Not Be Blamed For Nothing,
Anima (Instrumental),Strange Artifact,
Черная речка,Серебряная свадьба,
Puppet Loosely Strung,The Correspondents,
Goggles,The Men That Will Not Be Blamed For Nothing,
(I Always Kill) The Things I Love,The Real Tuesday Weld,
Cinnamon Spider,Jack Off Jill,
Я жизнь люблю...,Серебряная свадьба,
Rattlesnake,Kabaret Sybarit,
At the House of the Clerkenwell Kid,The Real Tuesday Weld,
Body Shots,Schoolyard Heroes,
The Last Express,Vernian Process,
"Screaming ""Theatre"" In A Crowded Fire",Schoolyard Heroes,
Clockwork,The Electro Swingers,
Pass The Kerosene,The Peculiar Pretzelmen,
Beethoven,Trans-Siberian Orchestra,
Eat You,Caravan of Thieves,
Something Wicked (That Way Went),Vernian Process,
Nine Whole Lives,Amanda Jayne,
If I Told You Once,The Circus Contraption Band,
Steampunk Pixie,Frenchy and the Punk,
Transylvanian Concubine,Rasputina,
Bonnie And Clyde,Vermillion Lies,
Turn Soonest to the Sea,Protest The Hero,
D'arcy,No Somos Marineros,
A Plateful of Our Dead,Protest The Hero,
Bury the Hatchet,Protest The Hero,
She Who Mars the Skin of Gods,Protest The Hero,
The Divine Suicide of K.,Protest The Hero,
Blindfolds Aside,Protest The Hero,
No Stars Over Bethlehem,Protest The Hero,
Marigold,Periphery,
No Stars Over Bethlehem,Protest The Hero,
Die on Mars (Sunspot),The Callous Daoboys,
"Piano Quintet No. 1 in A Minor, Op. 30: I. Allegro",Louise Farrenc;Quintetto Bottesini,
Skin O' My Teeth - 2004 Remastered,Megadeth,
The Heaviest Matter of the Universe,Gojira,
Angry Again,Megadeth,
Impulse Crush,Ithaca,
Tension Underbite,MouthBreather,
35 Ghosts IV,Nine Inch Nails,
31 Ghosts IV,Nine Inch Nails,
32 Ghosts IV,Nine Inch Nails,
05 Ghosts I,Nine Inch Nails,
Bonus Trigger,Town Portal,
Crossburner,The Dillinger Escape Plan,
The Threat Posed by Nuclear Weapons,The Dillinger Escape Plan,
Magic That I Held You Prisoner,The Dillinger Escape Plan,
CH 375 268 277 ARS,The Dillinger Escape Plan,
Paranoia Shields,The Dillinger Escape Plan,
Hero of the Soviet Union,The Dillinger Escape Plan,
Nothing's Funny,The Dillinger Escape Plan,
When I Lost My Bet,The Dillinger Escape Plan,
One Of Us Is The Killer,The Dillinger Escape Plan,
Prancer,The Dillinger Escape Plan,
Understanding Decay,The Dillinger Escape Plan,
The Absolute Barnstormer,The Callous Daoboys,
No One Loves Me and Neither Do I,Them Crooked Vultures,
Buttersnips,Periphery,
Crypteque,Danny Baranowsky,
Dragula,Rob Zombie,
Loco,Coal Chamber,
Requiem - 2005 Digital Remaster,Killing Joke,
Gemelos Cóctel,No Somos Marineros,
Blackberry DeLorean,The Callous Daoboys,
The District Sleeps Alone Tonight - Remastered,The Postal Service,
Micromachines,Adebisi Shank,
Masa,Adebisi Shank,
Genki Shank,Adebisi Shank,
"A Quick One, While She’s Away",Giraffes? Giraffes!,
Emilie Sagée’s Secret,Giraffes? Giraffes!,
The Ghost of Eppeepee’s Ghost,Giraffes? Giraffes!,
I Am S/H(Im)E[R] as You Am S/H(Im)E[R] as You Are Me and We Am I and I Are All Our Together: Our Collective Consciousness’ psychogenic Fugue,Giraffes? Giraffes!,
"When the Catholic Girls Go Camping, the Nicotine Vampires Rule Supreme.",Giraffes? Giraffes!,
Eschaton,Town Portal,
Teratology,The Physics House Band,
Abraxical Solapse,The Physics House Band,
Italian Polka,Sergei Rachmaninoff;Brigitte Engerer;Oleg Maisenberg,
The Audacity (feat. Anomalie),Polyphia;Anomalie,
Playing God,Polyphia,
Bloodbath (feat. Chino Moreno),Polyphia;Chino Moreno,
Ego Death (feat. Steve Vai),Polyphia;Steve Vai,
How Long?,Tallah,
Headfirst,Tallah,
Thistle,Tallah,
mud_castle,Tallah,
The Hard Reset,Tallah,
Of Nothing,Tallah,
Dicker's Done,Tallah,
Shaken (not stirred),Tallah,
For The Recognition,Tallah,
The Impressionist,Tallah,
Telescope,Tallah,
Spaim,Botch,
Japam,Botch,
Framce,Botch,
Vietmam,Botch,
Afghamistam,Botch,
Micaragua,Botch,
Trust - Remastered 2004 / Remixed,Megadeth,
Wendrid,Tallah,
Stomping Grounds,Tallah,
"Goldberg Variations, BWV 988: Aria",Johann Sebastian Bach;Glenn Gould,
"Piano Sonata No. 15 in F Major, K. 533: III. Rondo",Wolfgang Amadeus Mozart;William Youn,
Popcorn (Hit Me When You Can),John Garcia,
Crowd Control,Johnny Booth,
Storyteller,Johnny Booth,
Firstborn (Ya'aburnee) - Instrumental,Silent Planet,
Come Hell or High Water,Native Construct,
Caffeine,Faith No More,
Ha Cha Cha,Darth Vegas,
Spook House,Darth Vegas,
Bomb and the Snowman,Darth Vegas,
Nano Nano,Darth Vegas,
Mephisto Mash,Darth Vegas,
Captain Terrific,Darth Vegas,
Star A.D.,Faith No More,
Dungeons and Drug Dealers,Black Matter Device,
On Wings of Carnage,Corpsegrinder,
Reckoning Day - Remastered 2004,Megadeth,
Gravedigger's Chant,Zeal & Ardor,
Mondrian Was a Liar,Botch,
To Our Friends in the Great White North,Botch,
Northern Fires (Guernica),Silent Planet,
The Button Has Been Pushed,Stolen Babies,
Gathering Fingers,Stolen Babies,
Lifeless,Stolen Babies,
Tall Tales,Stolen Babies,
Mind Your Eyes,Stolen Babies,
So Close,Stolen Babies,
Brainwash,Polkadot Cadaver,
What's the Worst Thing That Could Happen?,Polkadot Cadaver,
Chloroform Girl,Polkadot Cadaver,
Deathwish,Polkadot Cadaver,
A Wolf in Jesus Skin,Polkadot Cadaver,
Behind The Days,Stolen Babies,
Never Come Back,Stolen Babies,
Splatter,Stolen Babies,
Mousefood,Stolen Babies,
Prankster,Stolen Babies,
Dried Moat,Stolen Babies,
Push Button,Stolen Babies,
A Year of Judges,Stolen Babies,
For The Recognition,Tallah,
Mouth Of Ghosts,The Dillinger Escape Plan,
Lurch,The Dillinger Escape Plan,
Sick On Sunday,The Dillinger Escape Plan,
When Acting As A Wave,The Dillinger Escape Plan,
Vessel,Nine Inch Nails,
The Beginning Of The End,Nine Inch Nails,
Another Version Of The Truth,Nine Inch Nails,
In This Twilight,Nine Inch Nails,
The Great Destroyer,Nine Inch Nails,
Zero Sum,Nine Inch Nails,
Meet Your Master,Nine Inch Nails,
Playing Poor,Whores,
Mask,Chat Pile,
Rebel Without Applause,Every Time I Die,
Delusions of Saviour,Slayer,
The Upside Of Vanity,Aranda,
Face:Face,Norma Jean,
Memphis Will Be Laid To Waste,Norma Jean,
I Love Turbulence,Rolo Tomassi,
Instability,Dragged Under,
Tooth and Claw,Animals As Leaders,
LIFELESS LEMONADE,He Is Legend,
夜に駆ける,YOASOBI,
great escape,cinema staff,
Selenium Forest,Plini,
Planet of Garbage,Structures,
Wolf in Sheep's Clothing (feat. William Beckett),Set It Off,
Discord,The Living Tombstone;Eurobeat Brony,
character,Cö shu Nie,
Judgment,Vilem;Suzoh;Liodee,
Faded Out (feat. Within Temptation),Asking Alexandria;Within Temptation,
Prayer Of The Refugee,Rise Against,
Ríl Liatroma / The Green Cockade / The Mourne Mountains,Téada,
"Ninguém, Ninguém",Melody Gardot,
Pump Shanty,The Mechanisms,
怪物,YOASOBI,
Lady,LambC,
Neurotica,Polyphia,
Death Note (feat. Ichika),Polyphia;Ichika Nito,
88,Apartment 26,
Pet,A Perfect Circle,
Schism,TOOL,
Re-Education (Through Labor),Rise Against,
One Twenty Two,Botch,
What Is Delicious? Who Swarms?,The Callous Daoboys,
Star Baby,The Callous Daoboys,
The Elephant Man In the Room,The Callous Daoboys,
Field Sobriety Practice,The Callous Daoboys,
A Brief Article Regarding Time Loops,The Callous Daoboys,
Title Track,The Callous Daoboys,
Beautiful Dude Missile,The Callous Daoboys,
Violent Astrology,The Callous Daoboys,
Shaken (not stirred),Tallah,
Scratch (Instrumental),TK from Ling tosite sigure;Koshi Inaba,
As long as I love (Instrumental),TK from Ling tosite sigure;Koshi Inaba,
Lunar Waves,thoughtcrimes,
Deathbed Confessions,thoughtcrimes,
The Drowning Man,thoughtcrimes,
Dare I Say,thoughtcrimes,
New Infinities,thoughtcrimes,
Mirror Glue,thoughtcrimes,
Keyhole Romance,thoughtcrimes,
Conscience on Tilt,thoughtcrimes,
The Elephant Man In the Room,The Callous Daoboys,
Panopticon,thoughtcrimes,
Come To Daddy,The Dillinger Escape Plan,
Pig Latin,The Dillinger Escape Plan,
When Good Dogs Do Bad Things,The Dillinger Escape Plan,
Mirror Glue,thoughtcrimes,
Destro's Secret,The Dillinger Escape Plan,
In Debt to the Earth,Chevelle,
New Infinities,thoughtcrimes,
Grinder,Judas Priest,
Hostile Architecture,Every Time I Die,
War Is My Shepherd,Exodus,
New Dead Masters,Municipal Waste,
The Right To Go Insane,Megadeth,
:Signal:,Silent Planet,
How The Story Ends,Megadeth,
Head Crusher,Megadeth,
The Hardest Part of Letting Go... Sealed With a Kiss,Megadeth,
Bite The Hand,Megadeth,
Dialectic Chaos,Megadeth,
44 Minutes,Megadeth,
Ride The Lightning - Remastered,Metallica,
For Whom The Bell Tolls - Remastered,Metallica,
Ronin,The Gloom In The Corner;Ryo Kinoshita,
Keyhole Romance,thoughtcrimes,
Post-Boredom,Every Time I Die,
Down When I'm Not - live,Greg Puciato,
Roach Hiss - live,Greg Puciato,
Fire For Water - live,Greg Puciato,
All Waves to Nothing,Greg Puciato,
"I, Eclipse",Greg Puciato,
In This Hell You Find Yourself,Greg Puciato,
Lowered,Greg Puciato;Reba Meyers,
Reality Spiral,Greg Puciato,
No More Lives To Go,Greg Puciato,
Endless Endings,The Dillinger Escape Plan,
Evan Perks,The Chariot,
Guitarred And Feathered,Every Time I Die,
